number,family,genus,specific epithet,species,mycorrhizal type selivanov,mycorrhizal type modern,site number,intensity of mycorrhizal infection,literature data on presence-absence of mycorrhiza,mycorrhizal intensity min,mycorrhizal intensity max,taxonomy notes
110,Sapindaceae,Acer,tataricum,Acer tataricum,Ph.th.end.,AM,146,76,,,,ok
111,Sapindaceae,Acer,tataricum,Acer tataricum,Ph.th.end.,AM,147,,+,,,ok
112,Sapindaceae,Acer,tataricum,Acer tataricum,no,no,50,,-,,,ok
113,Sapindaceae,Acer,tegmentosum,Acer tegmentosum,Ph.th.end.,AM,147,,+,,,ok
114,Sapindaceae,Acer,tegmentosum,Acer tegmentosum,no,no,28,,-,,,ok
115,Sapindaceae,Acer,turkestanicum,Acer turkestanicum,Ph.th.end.,AM,136,68,,,,ok
116,Sapindaceae,Acer,ukurunduense,Acer ukurunduense,Ecto,Ectomycorrhiza ,28,,+,,,ok
117,Asteraceae,Achillea,macrocephala,Achillea macrocephala,Ph.th.end.,AM,150,28,,,,ok
118,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,3,,+,,,ok
119,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,15,72,,,,ok
120,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,29,86,,,,ok
121,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,30,96,,,,ok
122,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,31,66,,,,ok
123,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,32,90,,,,ok
124,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,33,34,,,,ok
125,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,36,66,,,,ok
126,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,37,90,,,,ok
127,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,38,64,,,,ok
128,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,49,80,,,,ok
129,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,85,80,,,,ok
130,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,87,10,,,,ok
131,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,88,25,,,,ok
132,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,89,28,,,,ok
133,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,91,22,,,,ok
134,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,142,50,,,,ok
135,Asteraceae,Achillea,millefolium,Achillea millefolium,Ph.th.end.,AM,152,30,,,,ok
136,Asteraceae,Achillea,millefolium,Achillea millefolium,no,no,90,0,,,,ok
137,Asteraceae,Achillea,nobilis,Achillea nobilis,Ph.th.end.,AM,41,60,,,,ok
138,Asteraceae,Achillea,ptarmica,Achillea ptarmica,Ph.th.end.,AM,151,30,,,,ok
139,Asteraceae,Achillea,salicifolia,Achillea salicifolia,no,no,145,,-,,,note that generic name may have changed
140,Asteraceae,Achillea,setacea,Achillea setacea,Ph.th.end.,AM,40,50,,,,ok
141,Asteraceae,Achillea,setacea,Achillea setacea,Ph.th.end.,AM,42,40,,,,ok
142,Asteraceae,Achillea,setacea,Achillea setacea,Ph.th.end.,AM,43,80,,,,ok
143,Asteraceae,Achillea,setacea,Achillea setacea,Ph.th.end.,AM,44,100,,,,ok
144,Asteraceae,Achillea,setacea,Achillea setacea,Ph.th.end.,AM,45,100,,,,ok
145,Asteraceae,Achillea,setacea,Achillea setacea,no,no,102,,-,,,ok
146,Orchidaceae,Acianthus,caudatus,Acianthus caudatus,E.t.end.,Orchid,153,,+,,,ok
147,Ranunculaceae,Aconitum,confertiflorum,Aconitum confertiflorum,Ph.th.end.,AM,129,60,,,,ok
148,Ranunculaceae,Aconitum,nasutum,Aconitum nasutum,Ph.th.end.,AM,96,40,,,,ok
149,Ranunculaceae,Aconitum,nasutum,Aconitum nasutum,Ph.th.end.,AM,96,100,,,,ok
150,Ranunculaceae,Aconitum,nasutum,Aconitum nasutum,Ph.th.end.,AM,128,20,,,,ok
151,Ranunculaceae,Aconitum,nasutum,Aconitum nasutum,no,no,109,0,,,,ok
152,Ranunculaceae,Aconitum,septentrionale,Aconitum septentrionale,VAM,AM,3,,+,,,ok
153,Ranunculaceae,Aconitum,septentrionale,Aconitum septentrionale,Ph.th.end.,AM,8,42,,,,ok
154,Ranunculaceae,Aconitum,septentrionale,Aconitum septentrionale,Ph.th.end.,AM,9,58,,,,ok
155,Ranunculaceae,Aconitum,septentrionale,Aconitum septentrionale,Ph.th.end.,AM,10,20,,,,ok
156,Ranunculaceae,Aconitum,septentrionale,Aconitum septentrionale,Ph.th.end.,AM,11,60,,,,ok
157,Ranunculaceae,Aconitum,septentrionale,Aconitum septentrionale,VAM,AM,15,,+,,,ok
158,Ranunculaceae,Aconitum,septentrionale,Aconitum septentrionale,VAM,AM,16,,+,,,ok
159,Ranunculaceae,Aconitum,septentrionale,Aconitum septentrionale,Ph.th.end.,AM,19,52,,,,ok
160,Ranunculaceae,Aconitum,septentrionale,Aconitum septentrionale,Ph.th.end.,AM,84,56,,,,ok
161,Ranunculaceae,Aconitum,septentrionale,Aconitum septentrionale,Ph.th.end.,AM,85,84,,,,ok
162,Ranunculaceae,Aconitum,septentrionale,Aconitum septentrionale,Ph.th.end.,AM,90,56,,,,ok
163,Ranunculaceae,Aconitum,septentrionale,Aconitum septentrionale,Ph.th.end.,AM,91,54,,,,ok
164,Ranunculaceae,Aconitum,septentrionale,Aconitum septentrionale,Ph.th.end.,AM,136,48,,,,ok
165,Acoraceae,Acorus,calamus,Acorus calamus,no,no,153,,-,,,ok
166,Asteraceae,Acroclinium,roseum,Acroclinium roseum,Ph.th.end.,AM,66,60,,,,ok
167,Asteraceae,Acroclinium,roseum,Acroclinium roseum,Ph.th.end.,AM,69,60,,,,ok
168,Asteraceae,Acroclinium,roseum,Acroclinium roseum,Ph.th.end.,AM,145,3,,,,ok
169,Asteraceae,Acroptilon,repens,Acroptilon repens,Ph.th.end.,AM,66,60,,,,ok
170,Asteraceae,Acroptilon,repens,Acroptilon repens,Ph.th.end.,AM,69,60,,,,ok
171,Ranunculaceae,Actaea,spicata,Actaea spicata,Ph.th.end.,AM,8,77,,,,ok
172,Ranunculaceae,Actaea,spicata,Actaea spicata,Ph.th.end.,AM,9,74,,,,ok
173,Ranunculaceae,Actaea,spicata,Actaea spicata,Ph.th.end.,AM,11,30,,,,ok
174,Ranunculaceae,Actaea,spicata,Actaea spicata,VAM,AM,12,20,,,,ok
175,Ranunculaceae,Actaea,spicata,Actaea spicata,VAM,AM,36,,+,,,ok
176,Actinidiaceae,Actinidia,kolomikta,Actinidia kolomikta,no,no,28,,-,,,ok
177,Actinidiaceae,Actinidia,polygama,Actinidia polygama,no,no,28,,-,,,ok
178,Campanulaceae,Adenophora,liliifolia,Adenophora liliifolia,Ph.th.end.,AM,25,96,,,,ok
179,Campanulaceae,Adenophora,liliifolia,Adenophora liliifolia,Ph.th.end.,AM,84,21,,,,ok
180,Campanulaceae,Adenophora,liliifolia,Adenophora liliifolia,Ph.th.end.,AM,88,40,,,,ok
181,Campanulaceae,Adenophora,liliifolia,Adenophora liliifolia,Ph.th.end.,AM,90,50,,,,ok
182,Campanulaceae,Adenophora,liliifolia,Adenophora liliifolia,Ph.th.end.,AM,91,20,,,,ok
183,Ranunculaceae,Adonis,aestivalis,Adonis aestivalis,Ph.th.end.,AM,74,76,,,,ok
184,Ranunculaceae,Adonis,parviflora,Adonis parviflora,Ph.th.end.,AM,56,64,,,,ok
185,Ranunculaceae,Adonis,turkestanica,Adonis turkestanica,Ph.th.end.,AM,137,36,,,,ok
186,Ranunculaceae,Adonis,turkestanica,Adonis turkestanica,Ph.th.end.,AM,138,28,,,,ok
187,Ranunculaceae,Adonis,vernalis,Adonis vernalis,Ph.th.end.,AM,40,60,,,,ok
188,Ranunculaceae,Adonis,vernalis,Adonis vernalis,Ph.th.end.,AM,84,42,,,,ok
189,Ranunculaceae,Adonis,vernalis,Adonis vernalis,VAM,AM,153,,+,,,ok
190,Adoxaceae,Adoxa,moschatellina,Adoxa moschatellina,Ph.th.end.,AM,15,60,,,,ok
191,Adoxaceae,Adoxa,moschatellina,Adoxa moschatellina,Ph.th.end.,AM,16,20,,,,ok
