number,family,genus,specific epithet,species,mycorrhizal type selivanov,mycorrhizal type modern,site number,intensity of mycorrhizal infection,literature data on presence-absence of mycorrhiza,mycorrhizal intensity min,mycorrhizal intensity max,taxonomy notes
4014,Caprifoliaceae,Lonicera,pallasii,Lonicera pallasii,no,no,14,0,,,,ok
4015,Caprifoliaceae,Lonicera,ruprechtiana,Lonicera ruprechtiana,Ph.th.end.,AM,147,,+,,,ok
4016,Caprifoliaceae,Lonicera,tatarica,Lonicera tatarica,Ph.th.end.,AM,146,72,,,,ok
4017,Caprifoliaceae,Lonicera,tatarica,Lonicera tatarica,Ph.th.end.,AM,147,,+,,,ok
4018,Caprifoliaceae,Lonicera,tatarica,Lonicera tatarica,no,no,27,0,,,,ok
4019,Caprifoliaceae,Lonicera,tatarica,Lonicera tatarica,no,no,50,,-,,,ok
4020,Caprifoliaceae,Lonicera,xylosteum,Lonicera xylosteum,Ph.th.end.,AM,9,62,,,,ok
4021,Caprifoliaceae,Lonicera,xylosteum,Lonicera xylosteum,Ph.th.end.,AM,10,42,,,,ok
4022,Caprifoliaceae,Lonicera,xylosteum,Lonicera xylosteum,Ph.th.end.,AM,12,60,,,,ok
4023,Caprifoliaceae,Lonicera,xylosteum,Lonicera xylosteum,Ph.th.end.,AM,22,24,,,,ok
4024,Caprifoliaceae,Lonicera,xylosteum,Lonicera xylosteum,Ph.th.end.,AM,36,90,,,,ok
4025,Caprifoliaceae,Lonicera,xylosteum,Lonicera xylosteum,Ph.th.end.,AM,146,68,,,,ok
4026,Caprifoliaceae,Lonicera,xylosteum,Lonicera xylosteum,Ph.th.end.,AM,147,,+,,,ok
4027,Poaceae,Lophatherum,gracile,Lophatherum gracile,Ph.th.end.,AM,153,,+,,,ok
4028,Fabaceae,Lotus,corniculatus,Lotus corniculatus,Ph.th.end.,AM,96,80,,,,ok
4029,Fabaceae,Lotus,corniculatus,Lotus corniculatus,Ph.th.end.,AM,97,40,,,,ok
4030,Fabaceae,Lotus,corniculatus,Lotus corniculatus,Ph.th.end.,AM,100,40,,,,ok
4031,Fabaceae,Lotus,corniculatus,Lotus corniculatus,Ph.th.end.,AM,102,65,,,,ok
4032,Fabaceae,Lotus,corniculatus,Lotus corniculatus,Ph.th.end.,AM,103,30,,,,ok
4033,Fabaceae,Lotus,corniculatus,Lotus corniculatus,Ph.th.end.,AM,111,20,,,,ok
4034,Fabaceae,Lotus,corniculatus,Lotus corniculatus,Ph.th.end.,AM,112,40,,,,ok
4035,Fabaceae,Lotus,corniculatus,Lotus corniculatus,Ph.th.end.,AM,114,30,,,,ok
4036,Fabaceae,Lotus,corniculatus,Lotus corniculatus,Ph.th.end.,AM,116,20,,,,ok
4037,Fabaceae,Lotus,corniculatus,Lotus corniculatus,Ph.th.end.,AM,120,20,,,,ok
4038,Fabaceae,Lotus,corniculatus,Lotus corniculatus,Ph.th.end.,AM,121,40,,,,ok
4039,Fabaceae,Lotus,corniculatus,Lotus corniculatus,Ph.th.end.,AM,123,30,,,,ok
4040,Fabaceae,Lotus,corniculatus,Lotus corniculatus,no,no,121,0,,,,ok
4041,Fabaceae,Lotus,tenuifolius,Lotus tenuifolius,VAM,AM,153,,+,,,ok
4042,Brassicaceae,Lunaria,alpina,Lunaria alpina,no,no,153,,-,,,ok
4043,Brassicaceae,Lunaria,dolichoceras,Lunaria dolichoceras,Ph.th.end.,AM,64,20,,,,ok
4044,Brassicaceae,Lunaria,meyeri,Lunaria meyeri,no,no,126,0,,,,ok
4045,Brassicaceae,Lunaria,peducellata,Lunaria peducellata,Ph.th.end.,AM,54,20,,,,ok
4046,Brassicaceae,Lunaria,peducellata,Lunaria peducellata,Ph.th.end.,AM,64,20,,,,ok
4047,Brassicaceae,Lunaria,vulgaris,Lunaria vulgaris,VAM,AM,3,,+,,,ok
4048,Brassicaceae,Lunaria,vulgaris,Lunaria vulgaris,VAM,AM,26,,+,,,ok
4049,Brassicaceae,Lunaria,vulgaris,Lunaria vulgaris,Ph.th.end.,AM,39,64,,,,ok
4050,Fabaceae,Lupinus,mutabilis,Lupinus mutabilis,Ph.th.end.,AM,141,8,,,,ok
4051,Fabaceae,Lupinus,polyphyllus,Lupinus polyphyllus,Ph.th.end.,AM,141,8,,,,ok
4052,Juncaceae,Luzula,campestris,Luzula campestris,no,no,36,0,,,,ok
4053,Juncaceae,Luzula,frigida,Luzula frigida,no,no,3,,-,,,ok
4054,Juncaceae,Luzula,frigida,Luzula frigida,no,no,6,0,,,,ok
4055,Juncaceae,Luzula,luzuloides,Luzula luzuloides,no,no,153,,-,,,ok
4056,Juncaceae,Luzula,multiflora,Luzula multiflora,no,no,5,0,,,,ok
4057,Juncaceae,Luzula,multiflora,Luzula multiflora,no,no,29,0,,,,ok
4058,Juncaceae,Luzula,multiflora,Luzula multiflora,no,no,37,0,,,,ok
4059,Juncaceae,Luzula,multiflora,Luzula multiflora,no,no,87,0,,,,ok
4060,Juncaceae,Luzula,multiflora,Luzula multiflora,no,no,153,,-,,,ok
4061,Juncaceae,Luzula,nivalis,Luzula nivalis,Ecto,Ectomycorrhiza ,2,,+,,,ok
4062,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,8,0,,,,ok
4063,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,9,0,,,,ok
4064,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,10,0,,,,ok
4065,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,11,0,,,,ok
4066,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,12,0,,,,ok
4067,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,13,0,,,,ok
4068,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,22,0,,,,ok
4069,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,23,0,,,,ok
4070,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,24,0,,,,ok
4071,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,27,0,,,,ok
4072,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,29,0,,,,ok
4073,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,33,0,,,,ok
4074,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,34,0,,,,ok
4075,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,36,0,,,,ok
4076,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,39,0,,,,ok
4077,Juncaceae,Luzula,pilosa,Luzula pilosa,no,no,153,,-,,,ok
4078,Juncaceae,Luzula,pseudosudetica,Luzula pseudosudetica,no,no,129,0,,,,ok
4079,Juncaceae,Luzula,pseudosudetica,Luzula pseudosudetica,no,no,131,0,,,,ok
4080,Juncaceae,Luzula,sibirica,Luzula sibirica,no,no,90,0,,,,ok
4081,Juncaceae,Luzula,sibirica,Luzula sibirica,no,no,92,0,,,,ok
4082,Juncaceae,Luzula,sibirica,Luzula sibirica,no,no,93,0,,,,ok
4083,Juncaceae,Luzula,spadicea,Luzula spadicea,no,no,3,,-,,,ok
4084,Juncaceae,Luzula,spadicea,Luzula spadicea,no,no,153,,-,,,ok
4085,Juncaceae,Luzula,spicata,Luzula spicata,no,no,123,0,,,,ok
4086,Juncaceae,Luzula,spicata,Luzula spicata,no,no,131,0,,,,ok
4087,Juncaceae,Luzula,sudetica,Luzula sudetica,no,no,3,,-,,,ok
4088,Juncaceae,Luzula,sudetica,Luzula sudetica,no,no,6,0,,,,ok
4089,Juncaceae,Luzula,sudetica,Luzula sudetica,no,no,153,,-,,,ok
4090,Caryophyllaceae,Lychnis,chalcedonica,Lychnis chalcedonica,no,no,145,0,,,,ok
4091,Caryophyllaceae,Lychnis,flos-cuculi,Lychnis flos-cuculi,no,no,4,0,,,,note that generic name may have changed
4092,Caryophyllaceae,Lychnis,flos-cuculi,Lychnis flos-cuculi,no,no,31,0,,,,note that generic name may have changed
4093,Caryophyllaceae,Lychnis,flos-cuculi,Lychnis flos-cuculi,no,no,36,0,,,,note that generic name may have changed
4094,Caryophyllaceae,Lychnis,flos-cuculi,Lychnis flos-cuculi,no,no,87,0,,,,note that generic name may have changed
4095,Solanaceae,Lycopersicon,esculentum ,Lycopersicon esculentum ,VAM,AM,153,,+,,,ok
4096,Lycopodiaceae,Lycopodium,alpinum,Lycopodium alpinum,no,no,3,,-,,,note that generic name may have changed
4097,Lycopodiaceae,Lycopodium,alpinum,Lycopodium alpinum,no,no,153,,-,,,note that generic name may have changed
4098,Lycopodiaceae,Lycopodium,annotinum,Lycopodium annotinum,no,no,3,0,,,,ok
4099,Lycopodiaceae,Lycopodium,annotinum,Lycopodium annotinum,no,no,4,0,,,,ok
4100,Lycopodiaceae,Lycopodium,annotinum,Lycopodium annotinum,no,no,8,0,,,,ok
4101,Lycopodiaceae,Lycopodium,annotinum,Lycopodium annotinum,no,no,9,0,,,,ok
4102,Lycopodiaceae,Lycopodium,annotinum,Lycopodium annotinum,no,no,10,0,,,,ok
4103,Lycopodiaceae,Lycopodium,annotinum,Lycopodium annotinum,no,no,14,0,,,,ok
4104,Lycopodiaceae,Lycopodium,annotinum,Lycopodium annotinum,no,no,18,0,,,,ok
4105,Lycopodiaceae,Lycopodium,annotinum,Lycopodium annotinum,no,no,36,0,,,,ok
4106,Lycopodiaceae,Lycopodium,clavatum,Lycopodium clavatum,no,no,11,0,,,,ok
4107,Lycopodiaceae,Lycopodium,clavatum,Lycopodium clavatum,no,no,12,0,,,,ok
4108,Lycopodiaceae,Lycopodium,clavatum,Lycopodium clavatum,no,no,22,0,,,,ok
4109,Lycopodiaceae,Lycopodium,clavatum,Lycopodium clavatum,no,no,23,0,,,,ok
4110,Lycopodiaceae,Lycopodium,clavatum,Lycopodium clavatum,no,no,39,0,,,,ok
4111,Lycopodiaceae,Lycopodium,complanatum,Lycopodium complanatum,no,no,17,0,,,,ok
4112,Lycopodiaceae,Lycopodium,complanatum,Lycopodium complanatum,no,no,19,0,,,,ok
4113,Lycopodiaceae,Lycopodium,complanatum,Lycopodium complanatum,no,no,21,0,,,,ok
4114,Lycopodiaceae,Lycopodium,complanatum,Lycopodium complanatum,no,no,22,0,,,,ok
4115,Lycopodiaceae,Lycopodium,lagopus,Lycopodium lagopus,no,no,3,,-,,,ok
4116,Lamiaceae,Lycopus,europaeus,Lycopus europaeus,Ph.th.end.,AM,39,90,,,,ok
4117,Lamiaceae,Lycopus,europaeus,Lycopus europaeus,Ph.th.end.,AM,135,76,,,,ok
4118,Schizaeaceae,Lygodium,japonicum,Lygodium japonicum,VAM,AM,153,,+,,,ok
4119,Ericaceae,Lyonia,calyculata,Lyonia calyculata,Endo er.,Ericoid,2,,+,,,ok
4120,Primulaceae,Lysimachia,nummularia,Lysimachia nummularia,Ph.th.end.,AM,38,46,,,,ok
4121,Primulaceae,Lysimachia,nummularia,Lysimachia nummularia,Ph.th.end.,AM,39,90,,,,ok
4122,Primulaceae,Lysimachia,thyrsiflora,Lysimachia thyrsiflora,Ph.th.end.,AM,36,,+,,,note that generic name may have changed
4123,Primulaceae,Lysimachia,thyrsiflora,Lysimachia thyrsiflora,Ph.th.end.,AM,39,78,,,,note that generic name may have changed
4124,Primulaceae,Lysimachia,thyrsiflora,Lysimachia thyrsiflora,no,no,10,0,,,,note that generic name may have changed
4125,Primulaceae,Lysimachia,verticillaris,Lysimachia verticillaris,Ph.th.end.,AM,95,80,,,,ok
4126,Primulaceae,Lysimachia,vulgaris,Lysimachia vulgaris,Ph.th.end.,AM,32,86,,,,ok
4127,Primulaceae,Lysimachia,vulgaris,Lysimachia vulgaris,VAM,AM,36,,+,,,ok
4128,Primulaceae,Lysimachia,vulgaris,Lysimachia vulgaris,Ph.th.end.,AM,40,60,,,,ok
4129,Primulaceae,Lysimachia,vulgaris,Lysimachia vulgaris,Ph.th.end.,AM,47,90,,,,ok
4130,Lythraceae,Lythrum,salicaria,Lythrum salicaria,Ph.th.end.,AM,102,35,,,,ok
4131,Lythraceae,Lythrum,salicaria,Lythrum salicaria,Ph.th.end.,AM,125,25,,,,ok
4132,Lythraceae,Lythrum,salicaria,Lythrum salicaria,no,no,36,0,,,,ok
4133,Lythraceae,Lythrum,salicaria,Lythrum salicaria,no,no,39,0,,,,ok
4134,Lythraceae,Lythrum,virgatum,Lythrum virgatum,Ph.th.end.,AM,135,40,,,,ok
4135,Fabaceae,Maackia,amurensis,Maackia amurensis,Ph.th.end.,AM,149,80,,,,ok
4136,Fabaceae,Maackia,amurensis,Maackia amurensis,no,no,28,,-,,,ok
4137,Fabaceae,Maackia,amurensis,Maackia amurensis,no,no,152,,-,,,ok
4138,Apiaceae,Macrosciadium,alatum,Macrosciadium alatum,Ph.th.end.,AM,96,60,,,,note that generic name may have changed
4139,Magnoliaceae,Magnolia,grandiflora,Magnolia grandiflora,Ph.th.end.,AM,149,100,,,,ok
4140,Magnoliaceae,Magnolia,kobus,Magnolia kobus,Ph.th.end.,AM,149,100,,,,ok
4141,Magnoliaceae,Magnolia,soulangeana,Magnolia soulangeana,Ph.th.end.,AM,149,90,,,,ok
4142,Magnoliaceae,Magnolia,tripetala,Magnolia tripetala,Ph.th.end.,AM,149,100,,,,ok
4143,Magnoliaceae,Magnolia,virginiana,Magnolia virginiana,Ph.th.end.,AM,149,100,,,,ok
4144,Berberidaceae,Mahonia,aquifolium,Mahonia aquifolium,Ph.th.end.,AM,27,,+,,,ok
4145,Berberidaceae,Mahonia,aquifolium,Mahonia aquifolium,Ph.th.end.,AM,146,26,,,,ok
4146,Berberidaceae,Mahonia,aquifolium,Mahonia aquifolium,Ph.th.end.,AM,149,100,,,,ok
4147,Berberidaceae,Mahonia,aquifolium,Mahonia aquifolium,no,no,50,,-,,,ok
4148,Berberidaceae,Mahonia,japonica,Mahonia japonica,Ph.th.end.,AM,149,100,,,,ok
4149,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,8,52,,,,ok
4150,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,9,28,,,,ok
4151,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,10,44,,,,ok
4152,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,15,3,,,,ok
4153,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,16,4,,,,ok
4154,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,19,78,,,,ok
4155,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,22,92,,,,ok
4156,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,23,98,,,,ok
4157,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,27,4,,,,ok
4158,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,28,46,,,,ok
4159,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,36,4,,,,ok
4160,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,39,90,,,,ok
4161,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,84,50,,,,ok
4162,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,85,64,,,,ok
4163,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,88,80,,,,ok
4164,Ruscaceae,Maianthemum,bifolium,Maianthemum bifolium,Ph.th.end.,AM,90,74,,,,ok
4165,Orchidaceae,Malaxis,paludosa,Malaxis paludosa,E.t.end.,Orchid,153,,+,,,ok
4166,Brassicaceae,Malcolmia,africana,Malcolmia africana,no,no,56,0,,,,note that generic name may have changed
4167,Brassicaceae,Malcolmia,africana,Malcolmia africana,no,no,57,0,,,,note that generic name may have changed
4168,Brassicaceae,Malcolmia,africana,Malcolmia africana,no,no,69,0,,,,note that generic name may have changed
4169,Brassicaceae,Malcolmia,africana,Malcolmia africana,no,no,70,0,,,,note that generic name may have changed
4170,Brassicaceae,Malcolmia,boissieriana,Malcolmia boissieriana,no,no,69,0,,,,ok
4171,Brassicaceae,Malcolmia,brevipes,Malcolmia brevipes,no,no,71,0,,,,note that generic name may have changed
4172,Brassicaceae,Malcolmia,brevipes,Malcolmia brevipes,no,no,73,0,,,,note that generic name may have changed
4173,Brassicaceae,Malcolmia,grandiflora,Malcolmia grandiflora,no,no,56,0,,,,note that generic name may have changed
4174,Brassicaceae,Malcolmia,grandiflora,Malcolmia grandiflora,no,no,69,0,,,,note that generic name may have changed
4175,Brassicaceae,Malcolmia,trichocarpa,Malcolmia trichocarpa,no,no,4,0,,,,note that generic name may have changed
4176,Brassicaceae,Malcolmia,trichocarpa,Malcolmia trichocarpa,no,no,74,0,,,,note that generic name may have changed
4177,Brassicaceae,Malcolmia,turkestanica,Malcolmia turkestanica,no,no,56,0,,,,note that generic name may have changed
4178,Brassicaceae,Malcolmia,turkestanica,Malcolmia turkestanica,no,no,57,0,,,,note that generic name may have changed
4179,Brassicaceae,Malcolmia,turkestanica,Malcolmia turkestanica,no,no,64,0,,,,note that generic name may have changed
4180,Brassicaceae,Malcolmia,turkestanica,Malcolmia turkestanica,no,no,65,0,,,,note that generic name may have changed
4181,Brassicaceae,Malcolmia,turkestanica,Malcolmia turkestanica,no,no,67,0,,,,note that generic name may have changed
4182,Brassicaceae,Malcolmia,turkestanica,Malcolmia turkestanica,no,no,72,0,,,,note that generic name may have changed
4183,Euphorbiaceae,Mallotus,japonicus,Mallotus japonicus,Ph.th.end.,AM,149,30,,,,ok
4184,Rosaceae,Malus,baccata,Malus baccata,Ph.th.end.,AM,147,,+,,,ok
4185,Rosaceae,Malus,baccata,Malus baccata,no,no,28,,-,,,ok
4186,Rosaceae,Malus,domestica,Malus domestica,Ph.th.end.,AM,27,,+,,,ok
4187,Rosaceae,Malus,domestica,Malus domestica,Ph.th.end.,AM,95,,+,,,ok
4188,Rosaceae,Malus,domestica,Malus domestica,VAM,AM,147,,+,,,ok
4189,Rosaceae,Malus,mandshurica,Malus mandshurica,no,no,28,,-,,,ok
4190,Rosaceae,Malus,niedzwetzkyana,Malus niedzwetzkyana,Ph.th.end.,AM,147,,+,,,ok
4191,Rosaceae,Malus,orientalis,Malus orientalis,E.ch.ect.,Ectomycorrhiza ,95,100,,,,ok
4192,Rosaceae,Malus,prunifolia,Malus prunifolia,Ph.th.end.,AM,146,80,,,,ok
4193,Rosaceae,Malus,sylvestris,Malus sylvestris,Ecto,Ectomycorrhiza ,50,,+,,,ok
4194,Rosaceae,Malus,sylvestris,Malus sylvestris,Ecto,Ectomycorrhiza ,153,,+,,,ok
4195,Rosaceae,Malus,sylvestris,Malus sylvestris,no,no,27,,-,,,ok
4196,Cactaceae,Mammillaria,lanata,Mammillaria lanata,no,no,154,0,,,,ok
4197,Cactaceae,Mammillaria,prolifera,Mammillaria prolifera,no,no,154,0,,,,ok
4198,Lamiaceae,Marrubium,leonuroides,Marrubium leonuroides,Ph.th.end.,AM,98,80,,,,ok
4199,Asteraceae,Matricaria,caucasica,Matricaria caucasica,no,no,131,0,,,,ok
4200,Asteraceae,Matricaria,caucasica,Matricaria caucasica,no,no,132,0,,,,ok
4201,Asteraceae,Matricaria,grandiflora,Matricaria grandiflora,no,no,3,,-,,,ok
4202,Asteraceae,Matricaria,lamellata,Matricaria lamellata,no,no,21,0,,,,ok
4203,Asteraceae,Matricaria,maritima,Matricaria maritima,VAM,AM,153,,+,,,ok
4204,Woodsiaceae,Matteuccia,struthiopteris,Matteuccia struthiopteris,Ph.th.end.,AM,39,80,,,,ok
4205,Brassicaceae,Matthiola,bicornis,Matthiola bicornis,no,no,145,0,,,,note that generic name may have changed
4206,Brassicaceae,Matthiola,incana,Matthiola incana,no,no,145,0,,,,ok
4207,Brassicaceae,Matthiola,robusta,Matthiola robusta,no,no,62,0,,,,ok
4208,Fabaceae,Medicago,falcata,Medicago falcata,Ph.th.end.,AM,38,58,,,,ok
4209,Fabaceae,Medicago,falcata,Medicago falcata,Ph.th.end.,AM,42,100,,,,ok
4210,Fabaceae,Medicago,falcata,Medicago falcata,Ph.th.end.,AM,49,90,,,,ok
4211,Fabaceae,Medicago,falcata,Medicago falcata,Ph.th.end.,AM,102,20,,,,ok
4212,Fabaceae,Medicago,falcata,Medicago falcata,VAM,AM,153,,+,,,ok
4213,Fabaceae,Medicago,hemicycla,Medicago hemicycla,Ph.th.end.,AM,150,80,,,,ok
4214,Fabaceae,Medicago,lupulina,Medicago lupulina,Ph.th.end.,AM,102,65,,,,ok
4215,Fabaceae,Medicago,lupulina,Medicago lupulina,Ph.th.end.,AM,143,86,,,,ok
4216,Fabaceae,Medicago,sativa,Medicago sativa,Ph.th.end.,AM,26,96,,,,ok
4217,Fabaceae,Medicago,sativa,Medicago sativa,Ph.th.end.,AM,81,92,,,,ok
4218,Fabaceae,Medicago,sativa,Medicago sativa,Ph.th.end.,AM,126,20,,,,ok
4219,Fabaceae,Medicago,sativa,Medicago sativa,Ph.th.end.,AM,145,100,,,,ok
4220,Fabaceae,Medicago,sativa,Medicago sativa,Ph.th.end.,AM,148,100,,,,ok
4221,Brassicaceae,Megacarpaea,megalocarpa,Megacarpaea megalocarpa,no,no,59,0,,,,ok
4222,Brassicaceae,Megacarpaea,megalocarpa,Megacarpaea megalocarpa,no,no,60,0,,,,ok
4223,Brassicaceae,Megacarpaea,megalocarpa,Megacarpaea megalocarpa,no,no,61,0,,,,ok
4224,Scrophulariaceae,Melampyrum,cristatum,Melampyrum cristatum,no,no,8,0,,,,now commonly placed in Orobanchaceae
4225,Scrophulariaceae,Melampyrum,cristatum,Melampyrum cristatum,no,no,9,0,,,,now commonly placed in Orobanchaceae
4226,Scrophulariaceae,Melampyrum,cristatum,Melampyrum cristatum,no,no,13,0,,,,now commonly placed in Orobanchaceae
4227,Scrophulariaceae,Melampyrum,cristatum,Melampyrum cristatum,no,no,19,0,,,,now commonly placed in Orobanchaceae
4228,Scrophulariaceae,Melampyrum,cristatum,Melampyrum cristatum,no,no,25,0,,,,now commonly placed in Orobanchaceae
4229,Scrophulariaceae,Melampyrum,cristatum,Melampyrum cristatum,no,no,150,0,,,,now commonly placed in Orobanchaceae
4230,Scrophulariaceae,Melampyrum,nemorosum,Melampyrum nemorosum,Ecto,Ectomycorrhiza ,153,,+,,,now commonly placed in Orobanchaceae
4231,Scrophulariaceae,Melampyrum,pratense,Melampyrum pratense,no,no,21,0,,,,now commonly placed in Orobanchaceae
4232,Scrophulariaceae,Melampyrum,pratense,Melampyrum pratense,no,no,22,0,,,,now commonly placed in Orobanchaceae
4233,Scrophulariaceae,Melampyrum,pratense,Melampyrum pratense,no,no,23,0,,,,now commonly placed in Orobanchaceae
4234,Scrophulariaceae,Melampyrum,pratense,Melampyrum pratense,no,no,36,0,,,,now commonly placed in Orobanchaceae
4235,Scrophulariaceae,Melampyrum,pratense,Melampyrum pratense,no,no,39,0,,,,now commonly placed in Orobanchaceae
4236,Scrophulariaceae,Melampyrum,pratense,Melampyrum pratense,no,no,153,,-,,,now commonly placed in Orobanchaceae
4237,Scrophulariaceae,Melampyrum,sylvaticum,Melampyrum sylvaticum,no,no,36,,-,,,now commonly placed in Orobanchaceae
4238,Scrophulariaceae,Melampyrum,sylvaticum,Melampyrum sylvaticum,no,no,153,,-,,,now commonly placed in Orobanchaceae
4239,Poaceae,Melica,altissima,Melica altissima,Ph.th.end.,AM,145,36,,,,ok
4240,Poaceae,Melica,ciliata,Melica ciliata,Ph.th.end.,AM,153,,+,,,ok
4241,Poaceae,Melica,nutans,Melica nutans,Ph.th.end.,AM,8,52,,,,ok
4242,Poaceae,Melica,nutans,Melica nutans,Ph.th.end.,AM,9,40,,,,ok
4243,Poaceae,Melica,nutans,Melica nutans,Ph.th.end.,AM,10,2,,,,ok
4244,Poaceae,Melica,nutans,Melica nutans,Ph.th.end.,AM,19,30,,,,ok
4245,Poaceae,Melica,nutans,Melica nutans,Ph.th.end.,AM,25,96,,,,ok
4246,Poaceae,Melica,nutans,Melica nutans,Ph.th.end.,AM,39,66,,,,ok
4247,Poaceae,Melica,nutans,Melica nutans,Ph.th.end.,AM,84,34,,,,ok
4248,Poaceae,Melica,nutans,Melica nutans,Ph.th.end.,AM,88,42,,,,ok
4249,Poaceae,Melica,nutans,Melica nutans,Ph.th.end.,AM,95,80,,,,ok
4250,Poaceae,Melica,nutans,Melica nutans,Ph.th.end.,AM,97,80,,,,ok
4251,Poaceae,Melica,persica,Melica persica,Ph.th.end.,AM,145,34,,,,ok
4252,Poaceae,Melica,taurica,Melica taurica,Ph.th.end.,AM,98,30,,,,ok
4253,Poaceae,Melica,taurica,Melica taurica,Ph.th.end.,AM,145,76,,,,ok
4254,Poaceae,Melica,uniflora,Melica uniflora,Ph.th.end.,AM,153,,+,,,ok
4255,Fabaceae,Melilotus,albus,Melilotus albus,Ph.th.end.,AM,30,60,,,,ok
4256,Fabaceae,Melilotus,albus,Melilotus albus,Ph.th.end.,AM,135,60,,,,ok
4257,Fabaceae,Melilotus,officinalis,Melilotus officinalis,Ph.th.end.,AM,102,30,,,,ok
4258,Fabaceae,Melilotus,officinalis,Melilotus officinalis,Ph.th.end.,AM,135,40,,,,ok
4259,Menispermaceae,Menispermum,dauricum,Menispermum dauricum,Ph.th.end.,AM,147,,+,,,ok
4260,Lamiaceae,Mentha,aquatica,Mentha aquatica,Ph.th.end.,AM,31,60,,,,ok
4261,Lamiaceae,Mentha,aquatica,Mentha aquatica,no,no,34,0,,,,ok
4262,Lamiaceae,Mentha,arvensis,Mentha arvensis,VAM,AM,27,,+,,,ok
4263,Lamiaceae,Mentha,arvensis,Mentha arvensis,Ph.th.end.,AM,39,15,,,,ok
4264,Lamiaceae,Mentha,arvensis,Mentha arvensis,no,no,34,0,,,,ok
4265,Lamiaceae,Mentha,asiatica,Mentha asiatica,Ph.th.end.,AM,142,62,,,,ok
4266,Lamiaceae,Mentha,austriaca,Mentha austriaca,Ph.th.end.,AM,34,60,,,,ok
4267,Lamiaceae,Mentha,longifolia,Mentha longifolia,Ph.th.end.,AM,97,60,,,,ok
4268,Lamiaceae,Mentha,longifolia,Mentha longifolia,Ph.th.end.,AM,107,20,,,,ok
4269,Lamiaceae,Mentha,micrantha,Mentha micrantha,Ph.th.end.,AM,135,40,,,,ok
4270,Menyanthaceae,Menyanthes,trifoliata,Menyanthes trifoliata,Ph.th.end.,AM,14,10,,,,ok
4271,Menyanthaceae,Menyanthes,trifoliata,Menyanthes trifoliata,no,no,10,0,,,,ok
4272,Menyanthaceae,Menyanthes,trifoliata,Menyanthes trifoliata,no,no,34,0,,,,ok
4273,Menyanthaceae,Menyanthes,trifoliata,Menyanthes trifoliata,no,no,39,0,,,,ok
4274,Menyanthaceae,Menyanthes,trifoliata,Menyanthes trifoliata,no,no,153,,-,,,ok
4275,Euphorbiaceae,Mercurialis,perennis,Mercurialis perennis,Ph.th.end.,AM,15,100,,,,ok
4276,Euphorbiaceae,Mercurialis,perennis,Mercurialis perennis,Ph.th.end.,AM,16,100,,,,ok
4277,Euphorbiaceae,Mercurialis,perennis,Mercurialis perennis,Ph.th.end.,AM,27,100,,,,ok
4278,Colchicaceae,Merendera,trigyna,Merendera trigyna,Ph.th.end.,AM,104,30,,,,ok
4279,Colchicaceae,Merendera,trigyna,Merendera trigyna,Ph.th.end.,AM,105,20,,,,ok
4280,Colchicaceae,Merendera,trigyna,Merendera trigyna,Ph.th.end.,AM,106,30,,,,ok
4281,Colchicaceae,Merendera,trigyna,Merendera trigyna,Ph.th.end.,AM,112,20,,,,ok
4282,Colchicaceae,Merendera,trigyna,Merendera trigyna,Ph.th.end.,AM,113,20,,,,ok
